Location,Cross_Street,Latitude,Longitude,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Weapon_Used_Code,Weapon_Description,Status,Status_Description,Year_Reported,Year_Occurred,Month_Reported,Month_Occurred,Day_Reported,Day_Occurred
11700    BLYTHE                       ST,,34.2148,-118.3878,1025.0,16.0,Foothill,1684.0,2.0,1822 0922,53.0,M,W,605.0,AUTOMATED TELLER MACHINE (ATM),0.0,No Weapon,IC,Invest Cont,2021,2020,4,12,11,21
2000 S  SANTA FE                     AV,,34.0206,-118.2301,730.0,13.0,Newton,1309.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,8,8,21,17
10200 W  RIVERSIDE                    DR,,34.1522,-118.3534,1440.0,15.0,N Hollywood,1569.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,11,11,6,6
300 E  C                            ST,,33.7729,-118.2593,2250.0,5.0,Harbor,529.0,1.0,1602 1607 0344 0358 1236,0.0,M,O,203.0,OTHER BUSINESS,0.0,No Weapon,IC,Invest Cont,2020,2020,10,10,18,17
100 S  AVENUE 60,,34.111,-118.1888,2100.0,11.0,Northeast,1139.0,1.0,1300 0329,39.0,F,W,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,10,10,16,12
7200    JORDAN                       AV,,34.201,-118.6029,1700.0,21.0,Topanga,2136.0,1.0,0344 1402,61.0,M,H,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,6,6,17,14
18600    SATICOY                      ST,,34.2148,-118.5404,1700.0,10.0,West Valley,1003.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,7,7,30,21
2900    LOS FELIZ                    BL,,34.1262,-118.2634,1000.0,11.0,Northeast,1123.0,2.0,0329 1300 1822,39.0,F,O,108.0,PARKING LOT,0.0,No Weapon,IC,Invest Cont,2020,2020,12,12,22,22
10700    VANOWEN                      ST,,34.194,-118.3637,1800.0,15.0,N Hollywood,1519.0,1.0,1402 1822 1309 0302,30.0,M,H,108.0,PARKING LOT,102.0,HAND GUN,AA,Adult Arrest,2020,2020,10,10,6,6
300 S  RENO                         ST,,34.0682,-118.2833,25.0,2.0,Rampart,241.0,2.0,0913 1206 2000 1813 0401 1601 0416,25.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,2020,2020,1,1,5,5
7900    BEVERLY                      BL,,34.0782,-118.3695,1550.0,7.0,Wilshire,711.0,2.0,0329 1309,27.0,F,H,203.0,OTHER BUSINESS,0.0,No Weapon,AO,Adult Other,2020,2020,10,10,17,17
13000    BORDEN                       AV,,34.3061,-118.4414,1400.0,19.0,Mission,1916.0,1.0,0344,22.0,Unknown,X,721.0,HIGH SCHOOL,0.0,No Weapon,IC,Invest Cont,2020,2020,10,10,26,23
92ND                         ST,ZAMORA                       AV,33.9485,-118.2461,1900.0,18.0,Southeast,1826.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,3,3,10,9
8500    KELVIN                       AV,,34.2246,-118.5864,1530.0,17.0,Devonshire,1791.0,2.0,0930,61.0,M,W,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,10,6,30,24
300    CULVER                       BL,,33.9594,-118.4478,717.0,14.0,Pacific,1472.0,2.0,0329,0.0,Unknown,X,710.0,OTHER PREMISE,0.0,No Weapon,IC,Invest Cont,2020,2020,5,5,9,9
1500 N  SERRANO                      AV,,34.1,-118.3113,1200.0,6.0,Hollywood,648.0,2.0,0377 1822 1501 0344 0928,66.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,No Weapon,IC,Invest Cont,2021,2020,6,9,4,1
5100    BALBOA                       BL,,34.166,-118.5095,1400.0,10.0,West Valley,1067.0,1.0,1822 0344 1300 1420 1606,32.0,M,W,123.0,PARKING UNDERGROUND/BUILDING,0.0,No Weapon,IC,Invest Cont,2020,2020,6,6,12,6
1600    255TH                        ST,,33.7925,-118.305,1945.0,5.0,Harbor,511.0,1.0,0344 0554 0602 0913,28.0,F,W,121.0,YARD (RESIDENTIAL/BUSINESS),0.0,No Weapon,AA,Adult Arrest,2020,2020,11,11,22,20
16000    MALDEN                       ST,,34.2256,-118.4839,1247.0,17.0,Devonshire,1799.0,1.0,0344 0394,26.0,M,W,751.0,WEBSITE,0.0,No Weapon,IC,Invest Cont,2020,2020,10,9,1,21
7200 S  BROADWAY,,33.9727,-118.285,1830.0,12.0,77th Street,1256.0,1.0,1202 1300 0344 0346 1822,61.0,M,H,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,9,9,28,28
600 S  BREED                        ST,,34.0381,-118.215,1200.0,4.0,Hollenbeck,473.0,1.0,0344,10.0,M,W,410.0,"MEMBERSHIP STORE (COSTCO,SAMS CLUB)*",0.0,No Weapon,IC,Invest Cont,2020,2020,2,2,23,23
1800    HILLHURST                    AV,,34.1036,-118.2874,556.0,11.0,Northeast,1142.0,2.0,0930 1822,36.0,F,O,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,12,11,6,30
LOS ANGELES                  ST,TEMPLE,34.0534,-118.2409,2020.0,1.0,Central,124.0,1.0,2024 1402 2004 1822 0432 0344 0355 1218,24.0,M,H,101.0,STREET,511.0,VERBAL THREAT,AO,Adult Other,2020,2020,3,3,29,29
6400    FALLBROOK                    AV,,34.1883,-118.6274,1920.0,21.0,Topanga,2143.0,1.0,0325,50.0,M,W,404.0,DEPARTMENT STORE,0.0,No Weapon,IC,Invest Cont,2020,2020,1,1,10,10
15000    ROSCOE                       BL,,34.2215,-118.4592,740.0,19.0,Mission,1994.0,2.0,0329,26.0,F,W,720.0,JUNIOR HIGH SCHOOL,0.0,No Weapon,IC,Invest Cont,2020,2020,10,10,26,26
1200 W  36TH                         PL,,34.0219,-118.2959,1600.0,3.0,Southwest,357.0,1.0,0344 1251 1822 2032,23.0,M,W,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,7,7,9,9
16100    TUPPER                       ST,,34.2393,-118.4828,2005.0,17.0,Devonshire,1779.0,1.0,1202 0385 0344,61.0,M,W,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,10,10,16,15
1900    OBAMA                        BL,,34.0183,-118.321,1200.0,3.0,Southwest,374.0,1.0,2000 0913 1814 1309 1240 0329 0416 0605 2004 0342,30.0,F,B,101.0,STREET,307.0,VEHICLE,AO,Adult Other,2020,2020,8,8,31,31
500 W  46TH                         ST,,34.0017,-118.2871,1700.0,12.0,77th Street,1208.0,1.0,1822 0334 0421 0361,55.0,F,H,501.0,SINGLE FAMILY DWELLING,206.0,SWITCH BLADE,AO,Adult Other,2020,2020,10,10,14,5
15500    CHASE                        ST,,34.2247,-118.4699,1500.0,19.0,Mission,1981.0,1.0,0344,27.0,F,H,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,3,3,12,6
15000    MOORPARK                     ST,,34.1536,-118.4596,1330.0,9.0,Van Nuys,971.0,2.0,1906,34.0,F,W,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,AO,Adult Other,2020,2020,5,1,13,23
100 N  RENO                         ST,,34.0714,-118.2813,2130.0,2.0,Rampart,231.0,2.0,0421 0319 0417 0561 1202 0913,63.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,IC,Invest Cont,2020,2020,9,9,27,27
11000    VENTURA                      BL,,34.1405,-118.3702,1435.0,15.0,N Hollywood,1596.0,1.0,0325 0344,65.0,F,W,403.0,DRUG STORE,0.0,No Weapon,IC,Invest Cont,2020,2020,5,5,9,7
2300 S  DUNSMUIR                     AV,,34.0374,-118.3576,2100.0,7.0,Wilshire,783.0,1.0,0344 1501,69.0,F,B,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,1,1,19,16
1200 W  PACIFIC COAST                HY,,33.7898,-118.298,645.0,5.0,Harbor,513.0,2.0,0329 1307 2003,54.0,F,H,509.0,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,0.0,No Weapon,AA,Adult Arrest,2020,2020,8,8,18,18
400 E  5TH                          ST,,34.0453,-118.2443,2009.0,1.0,Central,147.0,2.0,0400 1822,35.0,M,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,1,1,22,21
18100    ROSCOE                       BL,,34.2208,-118.5279,1930.0,10.0,West Valley,1004.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,12,12,3,2
5400    RUSSELL                      AV,,34.1042,-118.3072,2010.0,6.0,Hollywood,639.0,2.0,2000 2038 2004 0432 0421 1402,56.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,AA,Adult Arrest,2020,2020,2,2,13,13
2300    OCEAN VIEW                   AV,,34.0627,-118.2768,1616.0,2.0,Rampart,245.0,2.0,1814 0500 0533 1276,14.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,2020,2020,7,6,1,25
100    SYCAMORE PARK                DR,,34.097,-118.2065,1300.0,11.0,Northeast,1148.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,1,1,17,17
7000    GLASGOW                      AV,,33.9744,-118.3725,1559.0,14.0,Pacific,1469.0,1.0,0344 0394,34.0,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,No Weapon,IC,Invest Cont,2020,2020,12,12,9,9
7900 S  HARVARD                      BL,,33.9664,-118.3068,1830.0,12.0,77th Street,1263.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,9,9,3,2
200    WORLD                        WY,,33.9449,-118.4059,506.0,14.0,Pacific,1494.0,2.0,1822 0329 1300,42.0,M,H,102.0,SIDEWALK,0.0,No Weapon,IC,Invest Cont,2020,2020,4,4,29,29
1100 W  22ND                         ST,,33.7243,-118.3013,1155.0,5.0,Harbor,585.0,2.0,0421 0913 1309 1801 2038,28.0,M,H,101.0,STREET,511.0,VERBAL THREAT,IC,Invest Cont,2020,2020,10,10,13,13
21200    SATICOY                      ST,,34.2136,-118.5912,1100.0,21.0,Topanga,2126.0,1.0,1822 0416 0417 0429,44.0,M,H,108.0,PARKING LOT,304.0,CLUB/BAT,IC,Invest Cont,2020,2020,1,1,5,5
STANFORD,14TH                         ST,34.0313,-118.2505,1000.0,13.0,Newton,1313.0,2.0,0329,37.0,M,B,103.0,ALLEY,0.0,No Weapon,IC,Invest Cont,2020,2020,11,11,25,24
700    GULF                         AV,,33.778,-118.2728,1227.0,5.0,Harbor,522.0,1.0,1309 1310 0400 0913 0416,26.0,F,H,101.0,STREET,307.0,VEHICLE,IC,Invest Cont,2020,2020,11,11,14,14
2700    FAIRMOUNT                    ST,,34.0506,-118.2006,1504.0,4.0,Hollenbeck,456.0,2.0,0701 1202,66.0,M,H,104.0,DRIVEWAY,0.0,No Weapon,IC,Invest Cont,2020,2020,1,1,12,12
5400    MORELLA                      AV,,34.1687,-118.39,1200.0,15.0,N Hollywood,1545.0,2.0,0377,56.0,M,W,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2021,2020,3,12,31,5
18500    COLLINS                      ST,,34.1745,-118.5407,1600.0,10.0,West Valley,1043.0,1.0,1300 1822 0344 1609 0377,39.0,M,W,707.0,GARAGE/CARPORT,0.0,No Weapon,IC,Invest Cont,2020,2020,10,10,25,23
4200 W  DON TOMASO                   ST,,34.0048,-118.3473,1500.0,3.0,Southwest,391.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,7,7,21,19
1100    VENICE                       BL,,33.9945,-118.452,1100.0,14.0,Pacific,1433.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,10,10,31,30
18100    MEDLEY                       DR,,34.147,-118.5271,2200.0,10.0,West Valley,1094.0,2.0,1100 1300,29.0,F,B,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,2020,2020,7,7,6,4
11200    SANTA MONICA                 BL,,34.0452,-118.453,1855.0,8.0,West LA,853.0,2.0,0447,40.0,M,H,203.0,OTHER BUSINESS,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2020,2020,4,4,7,7
5400    TUJUNGA                      AV,,34.1685,-118.379,1330.0,15.0,N Hollywood,1549.0,1.0,0344,26.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,No Weapon,IC,Invest Cont,2020,2020,7,7,30,26
500 N  GENESEE                      AV,,34.0802,-118.3584,1400.0,7.0,Wilshire,702.0,1.0,0344,52.0,F,H,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,8,8,19,16
WONDER VIEW,LAKE HOLLYWOOD,34.1322,-118.3384,1130.0,6.0,Hollywood,615.0,1.0,1300 1307 1601 1609 0329 0344 0377,27.0,M,O,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,1,1,4,4
3200    MANDEVILLE CANYON            RD,,34.0987,-118.5037,1333.0,8.0,West LA,804.0,1.0,0344 0358 1822 0354 0930,37.0,F,B,144.0,GOLF COURSE*,0.0,No Weapon,IC,Invest Cont,2020,2020,6,6,12,12
2500 N  SOTO                         ST,,34.0767,-118.1937,1810.0,4.0,Hollenbeck,427.0,2.0,0100,27.0,M,H,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,6,6,30,30
15300    RAYMER                       ST,,34.2142,-118.4661,700.0,9.0,Van Nuys,901.0,1.0,Unknown,0.0,,Unknown,108.0,PARKING LOT,0.0,No Weapon,IC,Invest Cont,2020,2020,3,3,13,13
7300    RESEDA                       BL,,34.203,-118.5361,540.0,10.0,West Valley,1015.0,2.0,1822,57.0,M,H,248.0,CELL PHONE STORE,0.0,No Weapon,IC,Invest Cont,2020,2020,3,3,26,22
20500    HARTLAND                     ST,,34.1946,-118.5808,38.0,21.0,Topanga,2157.0,1.0,2004 1609 0421 0913,58.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,No Weapon,AA,Adult Arrest,2020,2020,9,9,1,1
11800    DARLINGTON                   AV,,34.0512,-118.4658,1623.0,8.0,West LA,832.0,2.0,0100 1822,27.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,No Weapon,IC,Invest Cont,2020,2020,3,2,11,28
21400    DEVONSHIRE                   ST,,34.2607,-118.6025,1200.0,17.0,Devonshire,1722.0,2.0,0329 2004,0.0,Unknown,X,402.0,MARKET,0.0,No Weapon,IC,Invest Cont,2020,2020,12,12,27,27
6700    LAUREL CANYON                BL,,34.2003,-118.4002,1200.0,15.0,N Hollywood,1503.0,2.0,1300 0329,50.0,F,B,301.0,GAS STATION,0.0,No Weapon,IC,Invest Cont,2020,2020,3,3,1,1
24300    MARTHA                       ST,,34.1726,-118.6547,910.0,21.0,Topanga,2161.0,2.0,0416,44.0,M,W,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,2020,2020,1,1,19,19
20700    LIANA                        CT,,34.2965,-118.5851,1615.0,17.0,Devonshire,1701.0,1.0,1606 0344,0.0,Unknown,X,707.0,GARAGE/CARPORT,0.0,No Weapon,IC,Invest Cont,2020,2020,12,12,16,15
1600 W  SEPULVEDA                    BL,,33.8204,-118.3037,1200.0,5.0,Harbor,507.0,2.0,2000 1814 0416 1309 0446 0917 0913,44.0,F,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,3,3,14,13
CEDROS,NORDHOFF,34.2355,-118.4536,2000.0,19.0,Mission,1964.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,5,5,15,14
4500 W  PICO                         BL,,0.0,0.0,1115.0,7.0,Wilshire,765.0,1.0,0325,22.0,M,H,243.0,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",0.0,No Weapon,IC,Invest Cont,2020,2020,12,12,28,28
6300    TOPANGA CANYON               BL,,34.185,-118.6059,1640.0,21.0,Topanga,2156.0,1.0,0325,25.0,M,X,236.0,VISION CARE FACILITY*,0.0,No Weapon,IC,Invest Cont,2020,2020,1,1,10,9
23700    VANOWEN                      ST,,34.1933,-118.6425,2330.0,21.0,Topanga,2141.0,1.0,0325,39.0,M,X,401.0,MINI-MART,0.0,No Weapon,IC,Invest Cont,2020,2020,7,7,24,23
6400    2ND                          AV,,33.9815,-118.3197,1200.0,12.0,77th Street,1242.0,1.0,1702 1202 0360 2021,88.0,F,B,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,3,1,1,15
10700 N  SEPULVEDA                    BL,,34.2685,-118.4694,220.0,19.0,Mission,1941.0,1.0,0397 0344 0216,36.0,F,H,120.0,STORAGE SHED,0.0,No Weapon,IC,Invest Cont,2020,2020,6,6,2,2
200    LINCOLN                      BL,,33.9976,-118.467,1115.0,14.0,Pacific,1414.0,1.0,0400 1822,60.0,M,W,242.0,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2020,2020,2,2,16,16
8500 S  CENTRAL                      AV,,33.9638,-118.2629,30.0,12.0,77th Street,1269.0,1.0,0329 0358 1609 1822 1402,0.0,Unknown,X,210.0,RESTAURANT/FAST FOOD,0.0,No Weapon,IC,Invest Cont,2020,2020,8,8,13,13
FLETCHER,LA CLEDE,34.1123,-118.2491,1000.0,11.0,Northeast,1133.0,1.0,0334 0913 2004,62.0,M,H,102.0,SIDEWALK,207.0,OTHER KNIFE,AO,Adult Other,2020,2020,5,5,10,6
8800 S  SAN PEDRO                    ST,,33.9572,-118.2695,1100.0,18.0,Southeast,1803.0,1.0,0913 1824 0344 0337 1251 1815,16.0,M,H,721.0,HIGH SCHOOL,511.0,VERBAL THREAT,JA,Juv Arrest,2020,2020,2,2,12,12
MIDVALE                      AV,OPHIR                        DR,34.0683,-118.4519,110.0,8.0,West LA,837.0,1.0,0358 1302 1307 1609 0344 1822,22.0,M,K,108.0,PARKING LOT,0.0,No Weapon,IC,Invest Cont,2020,2020,2,2,18,15
900    4TH                          AV,,34.0559,-118.3176,1830.0,20.0,Olympic,2041.0,1.0,Unknown,0.0,,Unknown,104.0,DRIVEWAY,0.0,No Weapon,IC,Invest Cont,2020,2020,2,2,6,5
3700    OVERLAND                     AV,,34.021,-118.4087,1045.0,14.0,Pacific,1406.0,2.0,1501,23.0,M,O,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,AA,Adult Arrest,2020,2020,9,9,14,14
3900 W  6TH                          ST,,34.0655,-118.3114,2344.0,20.0,Olympic,2022.0,2.0,0555 0913 0305 0416 0446,42.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,2020,2020,11,11,10,9
MAPLE,5TH                          ST,34.0461,-118.2461,300.0,1.0,Central,146.0,1.0,0431 0913 1218 2004,58.0,F,B,102.0,SIDEWALK,512.0,MACE/PEPPER SPRAY,IC,Invest Cont,2020,2020,11,10,1,30
108TH                        ST,FIGUEROA,33.9383,-118.2826,2118.0,18.0,Southeast,1832.0,2.0,2000 0913 1814 0448 0416 0429 0400,34.0,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,2020,2020,8,8,19,19
FRANKLIN,FITCH,34.1006,-118.3417,2300.0,6.0,Hollywood,645.0,2.0,2000 0913 1813 1814 0400 0447,40.0,M,O,503.0,HOTEL,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,2020,2020,8,8,10,9
MARTIN LUTHER KING,BROADWAY,34.0111,-118.2789,300.0,13.0,Newton,1341.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,4,4,8,7
5200    CLEON                        AV,,34.1649,-118.3686,1500.0,15.0,N Hollywood,1548.0,1.0,2000 0416 1402 1814 0334 2033 0400 0913,49.0,F,H,501.0,SINGLE FAMILY DWELLING,200.0,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,2020,2020,7,7,3,3
3600 N  BROADWAY,,34.0738,-118.2025,1945.0,4.0,Hollenbeck,424.0,2.0,1810 0913 0416,48.0,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,9,9,2,1
8TH,SAN JULIAN,34.0394,-118.2496,1410.0,1.0,Central,176.0,2.0,1310 1307 0329 1309 0919,37.0,M,O,122.0,"VEHICLE, PASSENGER/TRUCK",0.0,No Weapon,IC,Invest Cont,2020,2020,2,2,13,13
200 W  FLORENCE                     AV,,33.9747,-118.2761,2120.0,12.0,77th Street,1258.0,1.0,Unknown,0.0,,Unknown,108.0,PARKING LOT,0.0,No Weapon,IC,Invest Cont,2020,2020,1,1,26,25
1500 W  MARTIN LUTHER KING JR        BL,,34.0109,-118.3113,1900.0,3.0,Southwest,395.0,2.0,2038 0913 2000 1814,32.0,F,B,726.0,POLICE FACILITY,0.0,No Weapon,AO,Adult Other,2020,2020,11,11,22,22
1500 E  CRUCES                       ST,,33.7935,-118.2456,2259.0,5.0,Harbor,519.0,2.0,2000 0416 1814 0913,35.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,2020,2020,9,9,15,14
10000 W  WASHINGTON                   BL,,34.0252,-118.4041,1358.0,14.0,Pacific,1407.0,2.0,0329 1402 0400,0.0,Unknown,X,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,2020,2020,12,12,29,29
15500    NORDHOFF                     ST,,34.2356,-118.4704,1630.0,19.0,Mission,1971.0,1.0,0344 2032,29.0,F,B,506.0,ABANDONED BUILDING ABANDONED HOUSE,0.0,No Weapon,IC,Invest Cont,2020,2020,8,4,11,30
500 S  FLOWER                       ST,,34.0513,-118.2564,2209.0,1.0,Central,152.0,1.0,1420 1414 1822 0344,53.0,M,H,123.0,PARKING UNDERGROUND/BUILDING,0.0,No Weapon,IC,Invest Cont,2020,2020,12,12,9,9
2500 S  RIMPAU                       BL,,34.0333,-118.3469,1245.0,3.0,Southwest,305.0,1.0,0417 1307 0913 2000 1814 0329 0447 1300,49.0,M,B,104.0,DRIVEWAY,310.0,CONCRETE BLOCK/BRICK,AA,Adult Arrest,2020,2020,1,1,31,31
4TH,WESTMORELAND,34.0667,-118.2879,2245.0,20.0,Olympic,2029.0,2.0,0416 0446 1218 1243 1813 2000 2004,47.0,F,K,158.0,TRANSIENT ENCAMPMENT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,2020,2020,5,5,4,4
4800    ARCOLA                       AV,,34.1577,-118.3549,900.0,15.0,N Hollywood,1559.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,4,4,11,11
11TH                         ST,HILL                         ST,34.0405,-118.2604,1840.0,1.0,Central,182.0,2.0,0416 1822 0340 0429,58.0,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,7,7,30,30
LA BREA,SUNSET,34.098,-118.3441,1205.0,6.0,Hollywood,643.0,2.0,0400 0416 1822,22.0,F,W,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,7,7,13,13
1300 W  FLORENCE                     AV,,33.9789,-118.2981,1100.0,12.0,77th Street,1245.0,1.0,0603 0913 0361 1300 0421 0334,56.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",215.0,MACHETE,IC,Invest Cont,2020,2020,7,7,3,3
7900    READING                      AV,,33.967,-118.3802,2200.0,14.0,Pacific,1479.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,1,1,25,24
5500 S  VERMONT                      AV,,33.9923,-118.2915,420.0,12.0,77th Street,1218.0,1.0,1609 1822,0.0,Unknown,X,242.0,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2020,2020,1,1,30,30
1900 S  ALAMEDA                      ST,,34.0245,-118.244,8.0,13.0,Newton,1317.0,1.0,0329 0344 1609,0.0,M,H,203.0,OTHER BUSINESS,0.0,No Weapon,IC,Invest Cont,2020,2020,4,4,20,20
3900    BEVERLY                      BL,,34.0777,-118.2961,1200.0,2.0,Rampart,221.0,1.0,0344 1822,0.0,Unknown,X,210.0,RESTAURANT/FAST FOOD,0.0,No Weapon,IC,Invest Cont,2021,2020,9,9,27,1
SAN PEDRO,23RD                         ST,34.0241,-118.2597,830.0,13.0,Newton,1323.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,4,4,27,27
FLOWER,VENICE,34.037,-118.2688,2330.0,1.0,Central,192.0,1.0,1307 0329 1822 1609 0344,53.0,M,W,108.0,PARKING LOT,0.0,No Weapon,IC,Invest Cont,2020,2020,1,1,29,25
TEMPLE                       ST,LAVETA                       TR,34.0678,-118.259,437.0,2.0,Rampart,238.0,1.0,1822 0342 0202 1300 0344,54.0,F,W,108.0,PARKING LOT,0.0,No Weapon,IC,Invest Cont,2020,2020,10,10,21,20
8600    BEVERLYWOOD                  ST,,34.036,-118.3792,9.0,8.0,West LA,899.0,2.0,0329 1300,37.0,F,W,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,7,7,5,5
1400 S  BRONSON                      AV,,34.0466,-118.3261,1900.0,7.0,Wilshire,767.0,1.0,0344,55.0,F,B,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,4,3,5,31
4100    GARTHWAITE                   AV,,34.0094,-118.3231,1.0,3.0,Southwest,393.0,2.0,0929 1822 1202 0100,71.0,F,B,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2022,2020,8,3,3,10
16900    SHERMAN                      WY,,34.2012,-118.513,1200.0,10.0,West Valley,1017.0,1.0,0344,0.0,Unknown,X,102.0,SIDEWALK,0.0,No Weapon,IC,Invest Cont,2020,2020,6,5,24,27
1700 W  GAGE                         AV,,33.9824,-118.3068,1400.0,12.0,77th Street,1243.0,2.0,0329 1300 0361,39.0,M,H,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,10,10,20,20
