,Location,Cross_Street,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Weapon_Used_Code,Weapon_Description,Status,Status_Description
1870,5600    DENNY                        AV,,34.1722,-118.3648,06/14/2020 12:00:00 AM,06/13/2020 12:00:00 AM,1900.0,15.0,N Hollywood,1539.0,1.0,,0.0,,,101.0,STREET,,,AA,Adult Arrest
10438,1900 W  OLYMPIC                      BL,,34.0508,-118.2777,10/18/2020 12:00:00 AM,10/18/2020 12:00:00 AM,1530.0,2.0,Rampart,275.0,1.0,0334 0416 0445 1236 0216 1822,23.0,F,H,503.0,HOTEL,312.0,PIPE/METAL PIPE,IC,Invest Cont
19319,CHASE                        ST,MARKLEIN                     AV,34.2247,-118.4709,05/01/2020 12:00:00 AM,04/20/2020 12:00:00 AM,1200.0,19.0,Mission,1981.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
18582,20200    KESWICK                      ST,,34.2096,-118.5732,04/28/2020 12:00:00 AM,04/26/2020 12:00:00 AM,30.0,21.0,Topanga,2128.0,1.0,1606 0344,58.0,M,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont
4058,2800    SELBY                        AV,,34.0343,-118.4203,01/27/2021 12:00:00 AM,08/26/2020 12:00:00 AM,730.0,8.0,West LA,893.0,1.0,1822 1601 0344,64.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
5966,600 E  ADAMS                        BL,,34.0223,-118.2629,09/13/2020 12:00:00 AM,09/12/2020 12:00:00 AM,545.0,13.0,Newton,1322.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
16220,21100    VENTURA                      BL,,34.167,-118.5928,03/19/2020 12:00:00 AM,03/19/2020 12:00:00 AM,1307.0,21.0,Topanga,2187.0,2.0,0356 0443,37.0,M,O,602.0,BANK,511.0,VERBAL THREAT,AO,Adult Other
17097,5100 N  SEPULVEDA                    BL,,34.163,-118.4661,09/11/2020 12:00:00 AM,08/30/2020 12:00:00 AM,1115.0,9.0,Van Nuys,963.0,2.0,0329,33.0,M,O,710.0,OTHER PREMISE,,,IC,Invest Cont
1974,8700    DENKER                       AV,,33.959,-118.3046,03/21/2020 12:00:00 AM,03/13/2020 12:00:00 AM,400.0,12.0,77th Street,1273.0,1.0,0344 0321 1601 1822 1202,73.0,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
15079,1500    WILSHIRE                     BL,,34.0546,-118.2684,10/20/2020 12:00:00 AM,10/19/2020 12:00:00 AM,1540.0,2.0,Rampart,257.0,1.0,1822 0329 1302 0321 0358 1402,22.0,M,W,108.0,PARKING LOT,,,IC,Invest Cont
2993,SEPULVEDA,MOORPARK,34.1547,-118.453,06/13/2020 12:00:00 AM,06/12/2020 12:00:00 AM,1300.0,9.0,Van Nuys,974.0,1.0,0416 1402 2004 0447 1822 0411 1414,35.0,M,A,101.0,STREET,306.0,ROCK/THROWN OBJECT,AA,Adult Arrest
2571,18400 S  MARIPOSA                     AV,,33.8634,-118.2982,05/20/2020 12:00:00 AM,05/20/2020 12:00:00 AM,305.0,5.0,Harbor,501.0,2.0,0358 1300 1606,32.0,M,W,104.0,DRIVEWAY,,,IC,Invest Cont
782,600 S  RIDGELEY                     DR,,34.0631,-118.3504,10/07/2020 12:00:00 AM,09/26/2020 12:00:00 AM,2059.0,7.0,Wilshire,735.0,1.0,0394 1309,29.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont
10395,400 W  51ST                         ST,,33.9965,-118.281,05/07/2020 12:00:00 AM,05/06/2020 12:00:00 AM,2000.0,12.0,77th Street,1209.0,1.0,0344,35.0,M,H,101.0,STREET,,,IC,Invest Cont
18858,41ST                         PL,WALL                         ST,34.0082,-118.2716,05/15/2020 12:00:00 AM,05/14/2020 12:00:00 AM,1800.0,13.0,Newton,1354.0,1.0,0344 0432 0371 0416 1822,16.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont
2742,400 S  BURLINGTON                   AV,,34.0596,-118.27,11/03/2020 12:00:00 AM,11/02/2020 12:00:00 AM,1500.0,2.0,Rampart,247.0,2.0,1822 0329 1307,21.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont
7607,1500    BENEDICT CANYON              DR,,34.1126,-118.4441,08/03/2020 12:00:00 AM,08/03/2020 12:00:00 AM,1040.0,8.0,West LA,807.0,2.0,0100,41.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont
14515,10300    FIRTH                        BL,,33.9432,-118.2481,06/05/2020 12:00:00 AM,06/04/2020 12:00:00 AM,1600.0,18.0,Southeast,1836.0,1.0,1822 1606 0344,39.0,F,H,108.0,PARKING LOT,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont
4734,10800    DE HAVEN                     AV,,34.266,-118.4045,01/07/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1900.0,16.0,Foothill,1645.0,2.0,0329,22.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont
12507,8400    CEDROS                       AV,,34.2231,-118.4535,06/17/2020 12:00:00 AM,06/12/2020 12:00:00 AM,1700.0,19.0,Mission,1985.0,1.0,1602 0344,36.0,M,H,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont
4824,9900    NATIONAL                     BL,,34.0309,-118.4017,02/10/2020 12:00:00 AM,02/09/2020 12:00:00 AM,2000.0,8.0,West LA,896.0,2.0,0329,0.0,X,X,301.0,GAS STATION,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont
16440,3000 W  36TH                         ST,,34.0229,-118.3289,09/18/2020 12:00:00 AM,09/18/2020 12:00:00 AM,1330.0,3.0,Southwest,334.0,2.0,0913 2000 1814 0416,21.0,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest
17344,12TH,GRAND                        AV,34.0408,-118.2644,03/12/2020 12:00:00 AM,03/12/2020 12:00:00 AM,10.0,1.0,Central,182.0,1.0,1822 0344 0316 0429 0305 1414,19.0,M,A,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont
12445,1500 W  SLAUSON                      AV,,33.9892,-118.3024,05/31/2020 12:00:00 AM,05/31/2020 12:00:00 AM,1850.0,12.0,77th Street,1235.0,1.0,1402 1822 2004 0202 0211 0447 0853,31.0,M,H,103.0,ALLEY,201.0,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,Invest Cont
3182,MELROSE                      AV,ARDEN                        ST,34.0835,-118.326,05/19/2020 12:00:00 AM,05/15/2020 12:00:00 AM,1700.0,7.0,Wilshire,719.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
15866,600    CERES                        AV,,34.0398,-118.2413,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,700.0,1.0,Central,158.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
14038,5200    HARMONY                      AV,,34.1649,-118.3664,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,1030.0,15.0,N Hollywood,1548.0,2.0,2004 0444 0429,58.0,F,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest
17669,118TH                        ST,STANFORD,33.9267,-118.2622,07/17/2020 12:00:00 AM,07/17/2020 12:00:00 AM,1330.0,18.0,Southeast,1864.0,2.0,1300 1100 1407 1822,0.0,X,X,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont
8645,CENTURY,AVIATION,33.9456,-118.3785,11/15/2020 12:00:00 AM,11/15/2020 12:00:00 AM,2315.0,14.0,Pacific,1489.0,2.0,0416,25.0,M,O,301.0,GAS STATION,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont
5852,5600    CLEON                        AV,,34.1722,-118.3681,11/16/2020 12:00:00 AM,11/15/2020 12:00:00 AM,1835.0,15.0,N Hollywood,1539.0,2.0,0400 0416 2000,37.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest
17533,5500    VIA MARISOL,,34.1045,-118.185,05/20/2020 12:00:00 AM,05/15/2020 12:00:00 AM,1530.0,4.0,Hollenbeck,404.0,1.0,0325,0.0,X,X,116.0,OTHER/OUTSIDE,,,IC,Invest Cont
14171,1700 W  26TH                         ST,,33.7229,-118.3162,08/25/2020 12:00:00 AM,08/25/2020 12:00:00 AM,1511.0,5.0,Harbor,581.0,1.0,1309 0344 0394,54.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
10597,8TH,FRANCISCO,34.0474,-118.264,01/09/2020 12:00:00 AM,01/09/2020 12:00:00 AM,1005.0,1.0,Central,161.0,1.0,1822 0345 0346 1202,63.0,M,W,102.0,SIDEWALK,,,AO,Adult Other
16684,9200    SHIRLEY                      AV,,34.2374,-118.558,08/01/2020 12:00:00 AM,08/01/2020 12:00:00 AM,1730.0,17.0,Devonshire,1764.0,1.0,0325 0378 0352 0209 1300,19.0,M,H,404.0,DEPARTMENT STORE,,,IC,Invest Cont
6662,3600    CRENSHAW                     BL,,34.0191,-118.3351,05/05/2020 12:00:00 AM,05/05/2020 12:00:00 AM,1725.0,3.0,Southwest,353.0,1.0,1309 0104 0342 0325 1822,19.0,X,X,301.0,GAS STATION,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont
8013,800 W  85TH                         ST,,33.9613,-118.2871,04/19/2020 12:00:00 AM,04/19/2020 12:00:00 AM,1715.0,12.0,77th Street,1267.0,1.0,0913 0416 0447 2002,48.0,F,H,501.0,SINGLE FAMILY DWELLING,212.0,BOTTLE,IC,Invest Cont
11755,4100    MARATHON                     ST,,34.0846,-118.2892,07/24/2020 12:00:00 AM,07/24/2020 12:00:00 AM,1330.0,2.0,Rampart,203.0,1.0,1822 0329 1607,0.0,X,X,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont
1318,2300    BARLOW                       ST,,34.0525,-118.2042,07/06/2020 12:00:00 AM,07/06/2020 12:00:00 AM,2230.0,4.0,Hollenbeck,455.0,2.0,2000 0913 0416 1814,25.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other
3928,2000    BARNETT                      WY,,34.0665,-118.1726,01/11/2020 12:00:00 AM,01/11/2020 12:00:00 AM,1300.0,4.0,Hollenbeck,439.0,2.0,0329,27.0,M,W,101.0,STREET,304.0,CLUB/BAT,IC,Invest Cont
18793,1200 W  30TH                         ST,,34.0274,-118.29,07/21/2020 12:00:00 AM,07/11/2020 12:00:00 AM,1033.0,3.0,Southwest,338.0,1.0,1251 0344 1822 0202 0394,25.0,F,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont
6169,9000    AIRPORT                      BL,,33.9546,-118.3858,06/10/2020 12:00:00 AM,02/23/2020 12:00:00 AM,1920.0,14.0,Pacific,1488.0,2.0,1300,0.0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont
7464,4100    PALMYRA                      RD,,34.0149,-118.3436,01/31/2020 12:00:00 AM,01/31/2020 12:00:00 AM,2200.0,3.0,Southwest,363.0,2.0,0913 0416,26.0,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other
8541,500 W  27TH                         ST,,34.0267,-118.2752,09/06/2020 12:00:00 AM,09/06/2020 12:00:00 AM,1537.0,3.0,Southwest,329.0,1.0,0329 0342 0344 0352 1251 1307 1309 1609 1822,19.0,F,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont
9723,1100 S  FAIRFAX                      AV,,34.0554,-118.3651,09/23/2020 12:00:00 AM,09/23/2020 12:00:00 AM,2330.0,7.0,Wilshire,753.0,1.0,0913 0408 2000 1814,37.0,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest
18101,12600    HESBY                        ST,,34.1622,-118.4078,09/20/2020 12:00:00 AM,09/12/2020 12:00:00 AM,1200.0,15.0,N Hollywood,1541.0,2.0,2038,36.0,F,W,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest
18182,15200    RAYEN                        ST,,34.2337,-118.463,09/28/2020 12:00:00 AM,09/27/2020 12:00:00 AM,2000.0,19.0,Mission,1972.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
16951,13900    FOOTHILL                     BL,,34.3155,-118.4343,11/30/2020 12:00:00 AM,11/29/2020 12:00:00 AM,2100.0,19.0,Mission,1905.0,1.0,,0.0,,,101.0,STREET,,,AA,Adult Arrest
8780,500 S  ANDERSON                     ST,,34.0401,-118.2245,10/26/2020 12:00:00 AM,10/25/2020 12:00:00 AM,2100.0,4.0,Hollenbeck,471.0,1.0,,0.0,,,108.0,PARKING LOT,,,IC,Invest Cont
11468,2900    OAKHURST                     AV,,34.0323,-118.3964,07/19/2020 12:00:00 AM,07/18/2020 12:00:00 AM,2000.0,8.0,West LA,897.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
9064,14000 W  RIVERSIDE                    DR,,34.1576,-118.4389,10/10/2020 12:00:00 AM,10/06/2020 12:00:00 AM,1400.0,9.0,Van Nuys,964.0,1.0,1300 0344,75.0,M,W,108.0,PARKING LOT,,,IC,Invest Cont
5613,3400    CARMONA                      AV,,34.0235,-118.3669,02/17/2020 12:00:00 AM,02/15/2020 12:00:00 AM,610.0,3.0,Southwest,321.0,1.0,0321 0344 0352 1210 1601,26.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
880,7300    BAKMAN                       AV,,34.203,-118.3779,02/26/2020 12:00:00 AM,02/26/2020 12:00:00 AM,1115.0,15.0,N Hollywood,1506.0,2.0,0421,50.0,M,H,720.0,JUNIOR HIGH SCHOOL,511.0,VERBAL THREAT,IC,Invest Cont
17648,6200    VARIEL                       AV,,34.1829,-118.5928,03/08/2020 12:00:00 AM,03/07/2020 12:00:00 AM,1700.0,21.0,Topanga,2158.0,1.0,1307 0344 0321 1202,74.0,F,W,108.0,PARKING LOT,,,IC,Invest Cont
2645,8500    FOOTHILL                     BL,,34.2724,-118.3243,11/22/2020 12:00:00 AM,11/22/2020 12:00:00 AM,2245.0,16.0,Foothill,1617.0,1.0,1822 0309 0430 1601 0416 1100 1419 1407 1402,37.0,M,W,301.0,GAS STATION,102.0,HAND GUN,IC,Invest Cont
7728,HOOVER,20TH,34.0381,-118.284,09/03/2020 12:00:00 AM,09/03/2020 12:00:00 AM,1.0,20.0,Olympic,2099.0,1.0,0344 0358 1307 1609 1822,30.0,M,O,101.0,STREET,,,IC,Invest Cont
8273,700 S  BIXEL                        ST,,34.0507,-118.2643,10/17/2020 12:00:00 AM,10/15/2020 12:00:00 AM,1700.0,2.0,Rampart,269.0,1.0,,0.0,,,108.0,PARKING LOT,,,IC,Invest Cont
12270,23400    HARTLAND                     ST,,34.194,-118.6389,07/28/2020 12:00:00 AM,07/28/2020 12:00:00 AM,1200.0,21.0,Topanga,2142.0,1.0,0325 0352 0321 1606,73.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
16132,GRAND VIEW,8TH,34.0559,-118.28,01/27/2020 12:00:00 AM,01/27/2020 12:00:00 AM,2.0,2.0,Rampart,261.0,2.0,0342 1822 1206 0416 0429 1601 0305,54.0,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont
12636,2100 E  102ND                        ST,,33.9439,-118.2354,09/18/2020 12:00:00 AM,08/25/2020 12:00:00 AM,900.0,18.0,Southeast,1829.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
6534,400 S  NEW HAMPSHIRE                AV,,34.0674,-118.2929,02/20/2020 12:00:00 AM,02/20/2020 12:00:00 AM,1600.0,20.0,Olympic,2026.0,1.0,0432 0344 1822 0216 1251 1026 1009,18.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont
13059,100 W  COLDEN                       AV,,33.9492,-118.2745,07/14/2020 12:00:00 AM,07/13/2020 12:00:00 AM,1345.0,18.0,Southeast,1822.0,1.0,0344 1822 1300 1601,21.0,F,A,101.0,STREET,,,IC,Invest Cont
6736,10200    SANTA MONICA                 BL,,34.06,-118.42,10/31/2020 12:00:00 AM,10/31/2020 12:00:00 AM,1615.0,8.0,West LA,839.0,1.0,0104 0344 1822 0378 0325,35.0,M,H,406.0,OTHER STORE,,,AA,Adult Arrest
1439,700 E  88TH                         PL,,33.9583,-118.2605,06/12/2020 12:00:00 AM,06/12/2020 12:00:00 AM,200.0,18.0,Southeast,1804.0,1.0,1202 0344 1822,61.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
8506,13600    RANGOON                      ST,,34.2262,-118.4288,11/29/2020 12:00:00 AM,11/21/2020 12:00:00 AM,2030.0,19.0,Mission,1988.0,2.0,1501,44.0,F,W,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other
14436,SESNON                       ST,N  MARCUS                       DR,34.2904,-118.5227,09/03/2020 12:00:00 AM,09/01/2020 12:00:00 AM,1600.0,17.0,Devonshire,1715.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
2097,10400    AVALON                       BL,,33.9417,-118.2652,12/23/2020 12:00:00 AM,12/20/2020 12:00:00 AM,1900.0,18.0,Southeast,1834.0,1.0,0352 1822 0329,57.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont
195,7900    SELMA                        AV,,34.0999,-118.3616,04/08/2020 12:00:00 AM,04/07/2020 12:00:00 AM,2200.0,6.0,Hollywood,632.0,2.0,0913 2038,0.0,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont
11485,5TH                          ST,MAIN,34.0467,-118.2485,06/30/2020 12:00:00 AM,06/28/2020 12:00:00 AM,2300.0,1.0,Central,154.0,2.0,0416 1822 1218 2004,37.0,M,B,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont
18854,6300    BAKMAN                       AV,,34.1849,-118.3779,05/19/2020 12:00:00 AM,05/07/2020 12:00:00 AM,800.0,15.0,N Hollywood,1527.0,2.0,0377 1202,60.0,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
13290,300    WORLD                        WY,,33.944,-118.4073,01/23/2020 12:00:00 AM,01/16/2020 12:00:00 AM,1300.0,14.0,Pacific,1494.0,2.0,0443 1402,0.0,X,X,212.0,TRANSPORTATION FACILITY (AIRPORT),511.0,VERBAL THREAT,IC,Invest Cont
10787,2900 S  RIDGELEY                     DR,,34.0266,-118.3637,09/02/2020 12:00:00 AM,08/29/2020 12:00:00 AM,1253.0,3.0,Southwest,311.0,2.0,0100 0930 0929,55.0,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
752,300 S  VIRGIL                       AV,,34.069,-118.2868,06/05/2020 12:00:00 AM,06/05/2020 12:00:00 AM,1530.0,20.0,Olympic,2029.0,2.0,0202 0329 0345 1822,0.0,X,X,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",306.0,ROCK/THROWN OBJECT,IC,Invest Cont
3429,100 W  25TH                         ST,,34.0258,-118.268,05/02/2020 12:00:00 AM,05/02/2020 12:00:00 AM,252.0,13.0,Newton,1321.0,2.0,0329 1602,0.0,M,H,203.0,OTHER BUSINESS,,,IC,Invest Cont
2392,RAYMER,KESTER,34.2131,-118.4584,06/30/2020 12:00:00 AM,06/30/2020 12:00:00 AM,830.0,9.0,Van Nuys,904.0,1.0,0302 0432 0312 2004 0334 1822 0421,37.0,F,H,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont
4311,15700 S  VERMONT                      AV,,33.8884,-118.2915,07/13/2020 12:00:00 AM,07/12/2020 12:00:00 AM,2000.0,18.0,Southeast,1881.0,1.0,1822 0344,26.0,F,H,101.0,STREET,,,IC,Invest Cont
7114,1500    261ST                        ST,,33.786,-118.3021,11/08/2020 12:00:00 AM,11/08/2020 12:00:00 AM,1800.0,5.0,Harbor,531.0,2.0,0329,34.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont
11858,1100    ABBOT KINNEY                 BL,,33.9918,-118.4707,05/02/2020 12:00:00 AM,05/02/2020 12:00:00 AM,1110.0,14.0,Pacific,1431.0,2.0,0329,0.0,X,X,710.0,OTHER PREMISE,,,IC,Invest Cont
7668,GRANVILLE                    AV,IOWA                         AV,34.0403,-118.456,11/10/2020 12:00:00 AM,11/04/2020 12:00:00 AM,1335.0,8.0,West LA,852.0,1.0,1202 0394,90.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont
16490,600 S  KENMORE                      AV,,34.0636,-118.2966,05/20/2020 12:00:00 AM,05/20/2020 12:00:00 AM,815.0,20.0,Olympic,2027.0,1.0,0344 0202 1822,35.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont
17305,1600    LAKME                        AV,,33.7956,-118.2609,07/22/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1.0,5.0,Harbor,518.0,1.0,0929 0913 1702 0344 1202,77.0,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
16693,4900    GENTRY                       AV,,34.1594,-118.3932,06/09/2020 12:00:00 AM,05/12/2020 12:00:00 AM,1200.0,15.0,N Hollywood,1545.0,2.0,0800,54.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
6373,VICTORY,VAN NUYS,34.1867,-118.4487,04/22/2020 12:00:00 AM,04/22/2020 12:00:00 AM,1000.0,9.0,Van Nuys,935.0,1.0,0431 1822 1009 0344 1218,39.0,M,O,101.0,STREET,512.0,MACE/PEPPER SPRAY,IC,Invest Cont
9826,6TH,KOHLER                       ST,34.0394,-118.2405,03/06/2020 12:00:00 AM,03/06/2020 12:00:00 AM,230.0,1.0,Central,158.0,2.0,2001 0416 0429 0444 1218 0913,48.0,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont
19883,1900    CANYON                       DR,,34.1053,-118.3169,01/20/2020 12:00:00 AM,01/15/2020 12:00:00 AM,1730.0,6.0,Hollywood,629.0,1.0,0344,45.0,F,W,101.0,STREET,,,IC,Invest Cont
19412,3800    3RD                          AV,,34.0146,-118.3204,05/26/2020 12:00:00 AM,05/25/2020 12:00:00 AM,1500.0,3.0,Southwest,374.0,1.0,0352 0344 1221 1822,31.0,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
16029,3300 W  54TH                         ST,,33.9931,-118.3299,12/21/2020 12:00:00 AM,12/20/2020 12:00:00 AM,1330.0,12.0,77th Street,1211.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
17647,300 S  VERMONT                      AV,,34.0691,-118.2917,03/12/2020 12:00:00 AM,03/12/2020 12:00:00 AM,1715.0,20.0,Olympic,2029.0,2.0,0416,33.0,M,O,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other
5091,900    BURRELL                      ST,,33.9861,-118.4498,12/29/2020 12:00:00 AM,12/08/2020 12:00:00 AM,1000.0,14.0,Pacific,1444.0,1.0,1202 1607 0344,86.0,F,W,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont
6059,9700    SAN FERNANDO                 RD,,34.246,-118.4009,12/14/2020 12:00:00 AM,12/11/2020 12:00:00 AM,1530.0,16.0,Foothill,1663.0,1.0,,0.0,,,108.0,PARKING LOT,,,IC,Invest Cont
12061,3700    AMESBURY                     RD,,34.117,-118.2788,12/26/2020 12:00:00 AM,12/22/2020 12:00:00 AM,1946.0,11.0,Northeast,1132.0,1.0,0344 1822,34.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
4404,7700    BONNER                       AV,,34.2102,-118.3736,06/22/2020 12:00:00 AM,06/22/2020 12:00:00 AM,30.0,16.0,Foothill,1695.0,1.0,0416 1300 0913 1814,19.0,F,H,101.0,STREET,307.0,VEHICLE,AA,Adult Arrest
7200,6100    MESA                         AV,,34.1157,-118.1912,05/03/2020 12:00:00 AM,05/02/2020 12:00:00 AM,1825.0,11.0,Northeast,1138.0,2.0,2038 0913,41.0,F,H,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest
19007,2300    DORRIS                       PL,,34.0915,-118.2369,05/11/2020 12:00:00 AM,04/16/2020 12:00:00 AM,1800.0,11.0,Northeast,1176.0,1.0,0397 0385,0.0,X,X,121.0,YARD (RESIDENTIAL/BUSINESS),218.0,OTHER CUTTING INSTRUMENT,IC,Invest Cont
776,1500 W  WASHINGTON                   BL,,34.0421,-118.2879,07/01/2020 12:00:00 AM,07/01/2020 12:00:00 AM,1500.0,20.0,Olympic,2088.0,1.0,1202 0342 1822 0344 0327 2032,78.0,M,K,108.0,PARKING LOT,,,IC,Invest Cont
1639,4TH                          ST,TOWNE                        AV,34.0444,-118.2407,03/16/2020 12:00:00 AM,03/16/2020 12:00:00 AM,1010.0,1.0,Central,148.0,2.0,1814 2004 1218 2000 0417 0416 1402,26.0,F,B,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont
6494,7100    LA TIJERA                    BL,,33.9735,-118.3761,06/27/2020 12:00:00 AM,06/25/2020 12:00:00 AM,1200.0,14.0,Pacific,1469.0,1.0,0344,35.0,F,F,707.0,GARAGE/CARPORT,,,IC,Invest Cont
16272,2400    ROSCOMARE                    RD,,34.1191,-118.4638,10/03/2020 12:00:00 AM,10/03/2020 12:00:00 AM,1315.0,8.0,West LA,806.0,2.0,0329 0361,52.0,M,W,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other
16056,1200 S  RIDGELEY                     DR,,34.051,-118.3549,10/25/2020 12:00:00 AM,10/25/2020 12:00:00 AM,30.0,7.0,Wilshire,755.0,1.0,,0.0,,,104.0,DRIVEWAY,,,IC,Invest Cont
5480,8600 N  SEPULVEDA                    BL,,34.2267,-118.4704,06/22/2020 12:00:00 AM,06/22/2020 12:00:00 AM,2300.0,19.0,Mission,1981.0,1.0,1307 0344 1609,35.0,F,H,108.0,PARKING LOT,,,IC,Invest Cont
17737,300    HAUSER                       BL,,34.0699,-118.3511,03/31/2020 12:00:00 AM,03/30/2020 12:00:00 AM,2030.0,7.0,Wilshire,734.0,2.0,0329,53.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont
