,Crime_Category
17626,Violent Crimes
3070,Property Crimes
11250,Violent Crimes
11326,Property Crimes
9327,Property Crimes
10309,Fraud and White-Collar Crimes
17155,Crimes against Persons
12460,Property Crimes
7551,Violent Crimes
9590,Fraud and White-Collar Crimes
11601,Violent Crimes
1101,Property Crimes
2094,Property Crimes
13805,Property Crimes
9936,Property Crimes
19546,Property Crimes
16178,Crimes against Public Order
3526,Property Crimes
12467,Violent Crimes
10321,Property Crimes
1630,Property Crimes
7494,Property Crimes
10955,Property Crimes
1128,Property Crimes
14016,Crimes against Persons
13608,Property Crimes
6804,Property Crimes
11213,Property Crimes
807,Property Crimes
14836,Property Crimes
15530,Property Crimes
15478,Property Crimes
5175,Violent Crimes
2320,Crimes against Public Order
2125,Property Crimes
6430,Property Crimes
9443,Violent Crimes
10582,Property Crimes
15697,Fraud and White-Collar Crimes
5718,Violent Crimes
12986,Violent Crimes
14704,Violent Crimes
5800,Property Crimes
319,Property Crimes
13554,Property Crimes
11185,Violent Crimes
4879,Property Crimes
2310,Property Crimes
15037,Crimes against Public Order
3682,Property Crimes
6661,Property Crimes
14351,Property Crimes
3841,Property Crimes
12475,Property Crimes
19368,Property Crimes
10898,Property Crimes
7610,Violent Crimes
7159,Property Crimes
19453,Property Crimes
16300,Property Crimes
5038,Violent Crimes
12397,Property Crimes
4184,Property Crimes
8555,Violent Crimes
4280,Property Crimes
212,Property Crimes
17399,Property Crimes
17375,Violent Crimes
309,Violent Crimes
2195,Violent Crimes
7336,Property Crimes
5192,Fraud and White-Collar Crimes
4214,Property Crimes
18620,Property Crimes
7645,Crimes against Public Order
175,Property Crimes
8364,Property Crimes
19008,Property Crimes
13859,Property Crimes
6034,Violent Crimes
727,Property Crimes
137,Fraud and White-Collar Crimes
8084,Property Crimes
3863,Property Crimes
18063,Property Crimes
14076,Violent Crimes
19022,Violent Crimes
17911,Crimes against Public Order
8448,Property Crimes
18353,Property Crimes
9841,Property Crimes
19130,Crimes against Public Order
5147,Crimes against Public Order
10707,Property Crimes
9987,Violent Crimes
11134,Violent Crimes
1392,Violent Crimes
1082,Property Crimes
345,Other Crimes
12835,Property Crimes
11241,Property Crimes
18505,Violent Crimes
2655,Violent Crimes
8765,Property Crimes
6176,Violent Crimes
1321,Property Crimes
366,Violent Crimes
16205,Fraud and White-Collar Crimes
13626,Property Crimes
18955,Property Crimes
1611,Fraud and White-Collar Crimes
18373,Property Crimes
18684,Property Crimes
10198,Property Crimes
17232,Property Crimes
12481,Property Crimes
1565,Violent Crimes
9601,Crimes against Public Order
13781,Property Crimes
11990,Crimes against Persons
1470,Violent Crimes
12462,Property Crimes
11666,Fraud and White-Collar Crimes
5317,Property Crimes
12102,Property Crimes
17351,Violent Crimes
13327,Violent Crimes
11163,Property Crimes
15769,Violent Crimes
4902,Property Crimes
8241,Crimes against Public Order
4912,Property Crimes
14839,Property Crimes
19455,Property Crimes
16784,Fraud and White-Collar Crimes
14729,Property Crimes
6720,Property Crimes
8824,Property Crimes
2316,Property Crimes
19345,Violent Crimes
11327,Violent Crimes
13915,Property Crimes
11765,Other Crimes
16201,Violent Crimes
11896,Property Crimes
5448,Property Crimes
9480,Property Crimes
6073,Property Crimes
4895,Violent Crimes
8354,Violent Crimes
18265,Property Crimes
1298,Property Crimes
1692,Fraud and White-Collar Crimes
14707,Violent Crimes
13999,Property Crimes
16731,Crimes against Public Order
8152,Crimes against Public Order
9661,Property Crimes
7585,Property Crimes
14444,Violent Crimes
11216,Violent Crimes
9876,Property Crimes
19085,Violent Crimes
8036,Property Crimes
12252,Violent Crimes
5453,Violent Crimes
7783,Violent Crimes
17524,Property Crimes
7644,Crimes against Public Order
9585,Property Crimes
3351,Property Crimes
18737,Violent Crimes
2245,Violent Crimes
13228,Property Crimes
3538,Property Crimes
14455,Violent Crimes
7268,Violent Crimes
5890,Fraud and White-Collar Crimes
13443,Violent Crimes
6506,Violent Crimes
3386,Crimes against Public Order
8034,Property Crimes
12499,Fraud and White-Collar Crimes
9518,Fraud and White-Collar Crimes
16264,Violent Crimes
16080,Violent Crimes
9088,Property Crimes
9447,Property Crimes
6268,Property Crimes
8119,Violent Crimes
17434,Violent Crimes
2829,Property Crimes
19861,Property Crimes
7912,Property Crimes
19034,Violent Crimes
1602,Property Crimes
7191,Property Crimes
13005,Violent Crimes
15585,Crimes against Public Order
909,Property Crimes
1218,Violent Crimes
820,Violent Crimes
16953,Violent Crimes
1062,Violent Crimes
242,Violent Crimes
247,Violent Crimes
9545,Property Crimes
16144,Property Crimes
8230,Property Crimes
6921,Property Crimes
1351,Fraud and White-Collar Crimes
6730,Crimes against Public Order
13654,Violent Crimes
14696,Property Crimes
7804,Property Crimes
12926,Property Crimes
5538,Property Crimes
11205,Property Crimes
19433,Violent Crimes
9288,Property Crimes
6679,Property Crimes
18122,Property Crimes
4520,Violent Crimes
14862,Property Crimes
12326,Property Crimes
4511,Crimes against Public Order
6742,Fraud and White-Collar Crimes
476,Property Crimes
4899,Fraud and White-Collar Crimes
230,Violent Crimes
8121,Property Crimes
14098,Property Crimes
16369,Property Crimes
15030,Property Crimes
15114,Property Crimes
9728,Violent Crimes
4950,Property Crimes
6632,Property Crimes
19966,Violent Crimes
13102,Property Crimes
7687,Property Crimes
5316,Property Crimes
11426,Crimes against Persons
5403,Property Crimes
19138,Crimes against Public Order
6759,Crimes against Public Order
2687,Property Crimes
18741,Property Crimes
15655,Property Crimes
11503,Property Crimes
11959,Property Crimes
11943,Property Crimes
14584,Property Crimes
1832,Property Crimes
18871,Property Crimes
15563,Property Crimes
3677,Violent Crimes
200,Property Crimes
16386,Property Crimes
19965,Property Crimes
6845,Property Crimes
11701,Property Crimes
12420,Property Crimes
2703,Violent Crimes
6369,Property Crimes
15684,Property Crimes
10265,Property Crimes
15809,Property Crimes
14880,Violent Crimes
4815,Violent Crimes
18839,Violent Crimes
13783,Property Crimes
5255,Crimes against Public Order
4349,Property Crimes
11031,Violent Crimes
11658,Property Crimes
2862,Violent Crimes
9196,Property Crimes
15959,Violent Crimes
11861,Property Crimes
9301,Property Crimes
19680,Property Crimes
16237,Fraud and White-Collar Crimes
4444,Property Crimes
10625,Property Crimes
13864,Violent Crimes
14551,Property Crimes
926,Property Crimes
9181,Property Crimes
15133,Fraud and White-Collar Crimes
15708,Property Crimes
4347,Property Crimes
9083,Crimes against Public Order
5327,Crimes against Public Order
15084,Property Crimes
2491,Property Crimes
18525,Property Crimes
173,Property Crimes
1108,Crimes against Public Order
13551,Property Crimes
1509,Property Crimes
3403,Property Crimes
16488,Property Crimes
18908,Crimes against Public Order
19992,Property Crimes
15374,Violent Crimes
18015,Property Crimes
19493,Violent Crimes
778,Violent Crimes
3768,Violent Crimes
15762,Property Crimes
8951,Crimes against Public Order
14080,Violent Crimes
16514,Property Crimes
8945,Crimes against Persons
1807,Violent Crimes
16507,Property Crimes
17072,Property Crimes
3802,Property Crimes
13068,Property Crimes
3174,Property Crimes
2110,Crimes against Public Order
7576,Violent Crimes
18145,Property Crimes
18989,Property Crimes
6667,Property Crimes
18754,Property Crimes
13455,Violent Crimes
3844,Violent Crimes
18391,Property Crimes
14005,Other Crimes
12542,Property Crimes
18061,Property Crimes
16764,Property Crimes
8168,Violent Crimes
513,Property Crimes
7916,Property Crimes
18090,Crimes against Public Order
14043,Property Crimes
3899,Property Crimes
9910,Property Crimes
2105,Property Crimes
18047,Violent Crimes
11702,Fraud and White-Collar Crimes
11240,Property Crimes
4881,Property Crimes
15278,Property Crimes
6193,Property Crimes
4489,Crimes against Public Order
5181,Violent Crimes
9629,Property Crimes
17691,Violent Crimes
5210,Property Crimes
5155,Violent Crimes
2395,Property Crimes
15435,Violent Crimes
2673,Property Crimes
560,Property Crimes
14129,Other Crimes
5745,Violent Crimes
298,Property Crimes
17205,Property Crimes
6876,Property Crimes
2242,Violent Crimes
9024,Property Crimes
6421,Property Crimes
2079,Violent Crimes
19043,Violent Crimes
7903,Property Crimes
1955,Property Crimes
16885,Violent Crimes
5127,Property Crimes
4023,Property Crimes
15173,Property Crimes
7770,Property Crimes
204,Property Crimes
16200,Property Crimes
19940,Property Crimes
9815,Property Crimes
13422,Fraud and White-Collar Crimes
6208,Property Crimes
6379,Violent Crimes
1332,Property Crimes
477,Property Crimes
6002,Fraud and White-Collar Crimes
15695,Property Crimes
14227,Violent Crimes
15502,Violent Crimes
12290,Violent Crimes
13038,Fraud and White-Collar Crimes
3668,Crimes against Public Order
9309,Fraud and White-Collar Crimes
3111,Violent Crimes
14333,Fraud and White-Collar Crimes
5416,Crimes against Public Order
8342,Fraud and White-Collar Crimes
14723,Property Crimes
16464,Property Crimes
3268,Property Crimes
11963,Property Crimes
19686,Crimes against Public Order
5172,Crimes against Persons
6313,Property Crimes
13071,Violent Crimes
12883,Property Crimes
15551,Property Crimes
8397,Property Crimes
13809,Violent Crimes
7930,Property Crimes
395,Fraud and White-Collar Crimes
19871,Property Crimes
2793,Property Crimes
2540,Violent Crimes
11517,Violent Crimes
2538,Crimes against Public Order
5437,Violent Crimes
12739,Property Crimes
3936,Violent Crimes
18309,Property Crimes
18645,Property Crimes
15090,Property Crimes
11063,Property Crimes
5466,Violent Crimes
4740,Violent Crimes
11393,Crimes against Public Order
17728,Property Crimes
16412,Property Crimes
17153,Property Crimes
11268,Property Crimes
7478,Crimes against Public Order
58,Property Crimes
10915,Crimes against Public Order
11889,Fraud and White-Collar Crimes
7248,Crimes against Public Order
9842,Property Crimes
18916,Property Crimes
15899,Property Crimes
2275,Violent Crimes
15411,Fraud and White-Collar Crimes
15544,Property Crimes
484,Violent Crimes
3098,Crimes against Public Order
13670,Property Crimes
8726,Property Crimes
18106,Property Crimes
4937,Property Crimes
8198,Violent Crimes
14497,Crimes against Public Order
3335,Violent Crimes
18510,Crimes against Public Order
14507,Property Crimes
3567,Crimes against Public Order
18203,Property Crimes
7005,Fraud and White-Collar Crimes
9814,Property Crimes
1913,Property Crimes
8138,Crimes against Public Order
18622,Property Crimes
3905,Property Crimes
1571,Property Crimes
9378,Property Crimes
18986,Violent Crimes
16003,Violent Crimes
6482,Violent Crimes
1140,Property Crimes
15611,Property Crimes
15333,Property Crimes
6850,Property Crimes
2385,Property Crimes
6844,Violent Crimes
16021,Crimes against Public Order
18515,Violent Crimes
9214,Crimes against Public Order
5262,Property Crimes
16252,Property Crimes
18194,Violent Crimes
10731,Crimes against Public Order
4137,Property Crimes
3576,Property Crimes
13699,Violent Crimes
18058,Property Crimes
12304,Property Crimes
14549,Property Crimes
16858,Violent Crimes
3805,Violent Crimes
10034,Fraud and White-Collar Crimes
10070,Property Crimes
15640,Violent Crimes
5138,Property Crimes
17252,Property Crimes
5249,Fraud and White-Collar Crimes
18553,Violent Crimes
4834,Fraud and White-Collar Crimes
1186,Property Crimes
764,Property Crimes
12621,Property Crimes
7673,Property Crimes
10553,Property Crimes
11187,Property Crimes
3062,Property Crimes
5025,Crimes against Persons
4356,Property Crimes
17147,Crimes against Public Order
13120,Property Crimes
5560,Property Crimes
209,Property Crimes
3086,Property Crimes
7352,Violent Crimes
19986,Property Crimes
4366,Property Crimes
6560,Property Crimes
2393,Property Crimes
6096,Property Crimes
10269,Crimes against Persons
17061,Fraud and White-Collar Crimes
3035,Property Crimes
4574,Violent Crimes
13927,Violent Crimes
300,Crimes against Public Order
14631,Property Crimes
2133,Property Crimes
508,Violent Crimes
16910,Property Crimes
17700,Property Crimes
11091,Property Crimes
18298,Property Crimes
15419,Violent Crimes
11512,Property Crimes
9664,Violent Crimes
791,Crimes against Public Order
1651,Violent Crimes
16658,Property Crimes
12550,Fraud and White-Collar Crimes
4046,Property Crimes
15504,Property Crimes
14558,Violent Crimes
17223,Property Crimes
7888,Property Crimes
19373,Violent Crimes
18149,Property Crimes
9211,Violent Crimes
10128,Property Crimes
16259,Property Crimes
12226,Property Crimes
2144,Property Crimes
18032,Crimes against Public Order
239,Property Crimes
14835,Violent Crimes
13282,Violent Crimes
6558,Violent Crimes
5040,Property Crimes
10267,Property Crimes
16107,Property Crimes
11816,Violent Crimes
19363,Property Crimes
5663,Violent Crimes
8783,Violent Crimes
9533,Fraud and White-Collar Crimes
11541,Property Crimes
19234,Crimes against Public Order
13968,Property Crimes
2957,Crimes against Persons
348,Property Crimes
12490,Property Crimes
15429,Fraud and White-Collar Crimes
16284,Violent Crimes
710,Property Crimes
8702,Property Crimes
17789,Property Crimes
15241,Violent Crimes
18174,Property Crimes
681,Property Crimes
6774,Violent Crimes
15661,Crimes against Public Order
7907,Property Crimes
2812,Property Crimes
611,Crimes against Persons
1016,Property Crimes
8052,Violent Crimes
18134,Property Crimes
17883,Violent Crimes
11070,Property Crimes
1901,Violent Crimes
9989,Violent Crimes
17665,Property Crimes
19784,Property Crimes
13808,Fraud and White-Collar Crimes
11008,Property Crimes
11999,Property Crimes
18104,Property Crimes
17518,Property Crimes
15813,Property Crimes
1931,Violent Crimes
1474,Violent Crimes
7202,Violent Crimes
12452,Property Crimes
18197,Property Crimes
16961,Property Crimes
4394,Property Crimes
18216,Violent Crimes
1543,Other Crimes
2273,Property Crimes
10883,Property Crimes
7175,Property Crimes
8813,Property Crimes
677,Property Crimes
4569,Crimes against Public Order
4427,Violent Crimes
8748,Property Crimes
10520,Property Crimes
16147,Property Crimes
9729,Property Crimes
233,Property Crimes
16176,Property Crimes
6773,Property Crimes
7843,Crimes against Public Order
9611,Property Crimes
15701,Property Crimes
12779,Property Crimes
16677,Crimes against Public Order
4278,Property Crimes
62,Property Crimes
6360,Fraud and White-Collar Crimes
10455,Property Crimes
2281,Property Crimes
5065,Property Crimes
3228,Property Crimes
1252,Property Crimes
18574,Property Crimes
9188,Property Crimes
15890,Property Crimes
14579,Violent Crimes
3033,Property Crimes
1868,Property Crimes
4094,Property Crimes
11403,Violent Crimes
2229,Property Crimes
6758,Violent Crimes
18836,Crimes against Public Order
13729,Property Crimes
18665,Property Crimes
16111,Property Crimes
14408,Property Crimes
11391,Property Crimes
252,Violent Crimes
16467,Violent Crimes
9685,Property Crimes
3917,Property Crimes
1816,Violent Crimes
19684,Fraud and White-Collar Crimes
3879,Fraud and White-Collar Crimes
18864,Violent Crimes
10705,Property Crimes
13392,Property Crimes
4785,Fraud and White-Collar Crimes
16632,Property Crimes
11525,Property Crimes
13242,Fraud and White-Collar Crimes
9176,Property Crimes
12130,Crimes against Persons
6627,Crimes against Public Order
19929,Property Crimes
9526,Violent Crimes
9733,Violent Crimes
10711,Property Crimes
1996,Property Crimes
8336,Property Crimes
8912,Violent Crimes
15811,Property Crimes
14220,Violent Crimes
12699,Property Crimes
9203,Property Crimes
244,Property Crimes
16407,Property Crimes
6583,Violent Crimes
17815,Property Crimes
7178,Property Crimes
8568,Violent Crimes
18520,Property Crimes
6822,Fraud and White-Collar Crimes
646,Property Crimes
259,Fraud and White-Collar Crimes
11027,Property Crimes
14956,Fraud and White-Collar Crimes
15711,Property Crimes
2348,Property Crimes
14120,Violent Crimes
11420,Property Crimes
6048,Property Crimes
13181,Fraud and White-Collar Crimes
3761,Violent Crimes
18787,Violent Crimes
16627,Property Crimes
15063,Violent Crimes
17125,Property Crimes
2014,Property Crimes
8632,Crimes against Public Order
7939,Violent Crimes
13464,Violent Crimes
13072,Crimes against Public Order
18821,Property Crimes
5634,Fraud and White-Collar Crimes
5901,Property Crimes
7035,Violent Crimes
13488,Crimes against Persons
12593,Property Crimes
4251,Violent Crimes
16836,Violent Crimes
15229,Property Crimes
6745,Property Crimes
13481,Property Crimes
17228,Property Crimes
18898,Property Crimes
1386,Property Crimes
15077,Violent Crimes
12403,Property Crimes
4175,Property Crimes
18497,Property Crimes
12925,Fraud and White-Collar Crimes
2576,Property Crimes
4802,Property Crimes
6653,Property Crimes
11518,Crimes against Public Order
2423,Property Crimes
1709,Violent Crimes
15010,Property Crimes
15310,Violent Crimes
3054,Property Crimes
14544,Violent Crimes
3294,Violent Crimes
15658,Property Crimes
14009,Property Crimes
13083,Violent Crimes
19716,Violent Crimes
10468,Violent Crimes
4725,Property Crimes
13126,Property Crimes
12713,Violent Crimes
6477,Property Crimes
18720,Property Crimes
6868,Property Crimes
4136,Violent Crimes
10839,Property Crimes
13191,Property Crimes
13441,Property Crimes
359,Property Crimes
2493,Violent Crimes
7638,Violent Crimes
13142,Crimes against Public Order
15165,Property Crimes
14321,Fraud and White-Collar Crimes
5445,Crimes against Public Order
15729,Property Crimes
19798,Property Crimes
3050,Property Crimes
2334,Violent Crimes
13862,Violent Crimes
8924,Property Crimes
17852,Property Crimes
3030,Crimes against Public Order
1978,Property Crimes
10131,Property Crimes
18293,Violent Crimes
12988,Other Crimes
551,Property Crimes
5315,Crimes against Public Order
19257,Violent Crimes
7701,Crimes against Public Order
12705,Property Crimes
8315,Property Crimes
17834,Violent Crimes
8731,Fraud and White-Collar Crimes
4840,Violent Crimes
12225,Crimes against Public Order
18964,Property Crimes
17441,Property Crimes
7326,Property Crimes
12273,Violent Crimes
12281,Property Crimes
17314,Property Crimes
9183,Crimes against Public Order
19645,Property Crimes
7567,Property Crimes
6064,Violent Crimes
3188,Violent Crimes
7062,Property Crimes
16862,Property Crimes
14050,Property Crimes
9537,Property Crimes
19371,Fraud and White-Collar Crimes
3258,Property Crimes
10440,Fraud and White-Collar Crimes
9557,Property Crimes
3946,Fraud and White-Collar Crimes
4380,Property Crimes
11318,Property Crimes
10649,Property Crimes
6826,Violent Crimes
16429,Property Crimes
18268,Property Crimes
5219,Violent Crimes
9369,Property Crimes
6940,Property Crimes
7925,Property Crimes
3169,Crimes against Public Order
17112,Property Crimes
13613,Property Crimes
13123,Fraud and White-Collar Crimes
5666,Property Crimes
8027,Property Crimes
7573,Violent Crimes
6269,Property Crimes
14768,Crimes against Public Order
17622,Property Crimes
19417,Crimes against Public Order
11829,Fraud and White-Collar Crimes
3758,Property Crimes
1635,Property Crimes
8521,Property Crimes
1441,Property Crimes
7333,Property Crimes
12600,Property Crimes
10504,Property Crimes
19051,Property Crimes
4770,Property Crimes
1800,Property Crimes
11881,Violent Crimes
10407,Violent Crimes
3753,Property Crimes
3178,Crimes against Public Order
6837,Violent Crimes
7285,Property Crimes
1497,Property Crimes
8427,Crimes against Persons
5218,Violent Crimes
10392,Property Crimes
6419,Property Crimes
475,Property Crimes
12875,Property Crimes
14616,Violent Crimes
10600,Violent Crimes
9739,Violent Crimes
18528,Violent Crimes
17055,Property Crimes
17183,Crimes against Public Order
4963,Property Crimes
4523,Property Crimes
14504,Property Crimes
18131,Property Crimes
15602,Crimes against Persons
215,Violent Crimes
4279,Property Crimes
17304,Property Crimes
19999,Property Crimes
9236,Crimes against Public Order
3914,Violent Crimes
9895,Property Crimes
8449,Violent Crimes
13245,Property Crimes
8432,Property Crimes
4896,Property Crimes
18110,Violent Crimes
17609,Property Crimes
8361,Property Crimes
8592,Crimes against Persons
17688,Property Crimes
16786,Crimes against Public Order
5620,Crimes against Public Order
283,Property Crimes
11632,Property Crimes
4580,Property Crimes
5784,Property Crimes
19021,Crimes against Public Order
2298,Property Crimes
14306,Crimes against Public Order
11235,Fraud and White-Collar Crimes
13725,Property Crimes
5994,Violent Crimes
15738,Property Crimes
2522,Violent Crimes
609,Crimes against Persons
16307,Property Crimes
19865,Violent Crimes
11728,Property Crimes
17257,Property Crimes
4925,Violent Crimes
6932,Crimes against Public Order
458,Fraud and White-Collar Crimes
4772,Property Crimes
1399,Fraud and White-Collar Crimes
14361,Property Crimes
5118,Violent Crimes
12582,Property Crimes
19922,Violent Crimes
15317,Property Crimes
9595,Property Crimes
2438,Property Crimes
13911,Violent Crimes
3318,Violent Crimes
19781,Property Crimes
17596,Property Crimes
1640,Property Crimes
5541,Crimes against Public Order
11314,Crimes against Public Order
9646,Property Crimes
18086,Fraud and White-Collar Crimes
3118,Property Crimes
13518,Property Crimes
16047,Property Crimes
12027,Property Crimes
9190,Property Crimes
12837,Property Crimes
9383,Property Crimes
10786,Violent Crimes
12349,Property Crimes
616,Fraud and White-Collar Crimes
2531,Property Crimes
7266,Violent Crimes
16855,Violent Crimes
7675,Property Crimes
2610,Property Crimes
3036,Violent Crimes
9976,Crimes against Public Order
6051,Property Crimes
19547,Fraud and White-Collar Crimes
1071,Property Crimes
10387,Property Crimes
19365,Property Crimes
12109,Fraud and White-Collar Crimes
699,Property Crimes
14372,Property Crimes
4525,Fraud and White-Collar Crimes
10933,Violent Crimes
975,Property Crimes
8041,Crimes against Public Order
13069,Property Crimes
19898,Property Crimes
15974,Property Crimes
10588,Property Crimes
2458,Property Crimes
8201,Property Crimes
2623,Violent Crimes
12194,Crimes against Public Order
228,Property Crimes
18648,Fraud and White-Collar Crimes
10359,Crimes against Public Order
94,Property Crimes
6856,Crimes against Public Order
9569,Property Crimes
11949,Violent Crimes
13418,Property Crimes
61,Property Crimes
15299,Property Crimes
5628,Crimes against Public Order
6899,Violent Crimes
16739,Property Crimes
11044,Crimes against Public Order
8406,Property Crimes
15414,Violent Crimes
15755,Property Crimes
14075,Crimes against Public Order
9282,Property Crimes
14973,Property Crimes
15554,Property Crimes
19032,Property Crimes
10371,Property Crimes
19580,Property Crimes
9472,Property Crimes
10583,Property Crimes
9922,Property Crimes
15027,Property Crimes
3094,Fraud and White-Collar Crimes
12902,Property Crimes
17829,Property Crimes
6541,Property Crimes
1809,Fraud and White-Collar Crimes
1401,Property Crimes
7064,Property Crimes
7542,Violent Crimes
12773,Violent Crimes
952,Crimes against Public Order
17431,Property Crimes
19890,Violent Crimes
3926,Property Crimes
198,Fraud and White-Collar Crimes
8313,Property Crimes
19173,Fraud and White-Collar Crimes
13904,Property Crimes
9746,Property Crimes
5686,Violent Crimes
13913,Property Crimes
12139,Property Crimes
12022,Crimes against Public Order
5358,Property Crimes
9420,Property Crimes
1138,Violent Crimes
7633,Property Crimes
14633,Property Crimes
17115,Violent Crimes
16388,Violent Crimes
11715,Violent Crimes
14742,Property Crimes
1659,Property Crimes
2263,Violent Crimes
16626,Property Crimes
18210,Property Crimes
12358,Property Crimes
4990,Property Crimes
3720,Crimes against Public Order
2194,Property Crimes
16051,Property Crimes
1352,Property Crimes
14231,Property Crimes
3211,Fraud and White-Collar Crimes
13505,Property Crimes
6124,Violent Crimes
14688,Property Crimes
5446,Violent Crimes
5094,Fraud and White-Collar Crimes
16125,Fraud and White-Collar Crimes
4777,Property Crimes
2944,Property Crimes
3640,Property Crimes
17867,Violent Crimes
12288,Violent Crimes
1652,Property Crimes
18454,Property Crimes
1552,Violent Crimes
10174,Property Crimes
19045,Violent Crimes
612,Property Crimes
1324,Violent Crimes
16260,Property Crimes
13393,Violent Crimes
14264,Crimes against Public Order
4890,Property Crimes
18280,Property Crimes
13889,Property Crimes
2082,Property Crimes
3078,Property Crimes
9452,Violent Crimes
15952,Property Crimes
1185,Property Crimes
17283,Property Crimes
16706,Fraud and White-Collar Crimes
7719,Property Crimes
10079,Fraud and White-Collar Crimes
2622,Property Crimes
13334,Fraud and White-Collar Crimes
5975,Fraud and White-Collar Crimes
17875,Property Crimes
9850,Crimes against Public Order
13516,Property Crimes
12665,Fraud and White-Collar Crimes
2012,Violent Crimes
17678,Property Crimes
11264,Violent Crimes
14930,Property Crimes
8580,Property Crimes
9042,Property Crimes
11828,Crimes against Public Order
6451,Property Crimes
15297,Property Crimes
17825,Fraud and White-Collar Crimes
29,Property Crimes
18003,Violent Crimes
854,Violent Crimes
15850,Violent Crimes
8484,Property Crimes
2233,Property Crimes
19783,Crimes against Public Order
9340,Crimes against Public Order
5641,Violent Crimes
11621,Violent Crimes
11720,Property Crimes
4997,Property Crimes
16343,Property Crimes
6389,Property Crimes
8769,Crimes against Persons
4132,Violent Crimes
4548,Property Crimes
12227,Property Crimes
7653,Property Crimes
18066,Violent Crimes
742,Property Crimes
13084,Property Crimes
9372,Violent Crimes
7987,Property Crimes
11495,Property Crimes
15150,Violent Crimes
13462,Fraud and White-Collar Crimes
14453,Crimes against Persons
1426,Property Crimes
19701,Fraud and White-Collar Crimes
13384,Fraud and White-Collar Crimes
7447,Property Crimes
4372,Property Crimes
15864,Violent Crimes
13451,Property Crimes
18981,Property Crimes
5454,Property Crimes
6464,Property Crimes
10200,Violent Crimes
13002,Property Crimes
4614,Property Crimes
10653,Violent Crimes
7018,Fraud and White-Collar Crimes
13502,Crimes against Public Order
12369,Property Crimes
7603,Property Crimes
18320,Fraud and White-Collar Crimes
979,Property Crimes
16809,Property Crimes
744,Property Crimes
16233,Property Crimes
19243,Property Crimes
938,Property Crimes
16816,Property Crimes
8554,Crimes against Public Order
8771,Property Crimes
3536,Property Crimes
5992,Property Crimes
5124,Violent Crimes
4089,Property Crimes
1183,Violent Crimes
7693,Property Crimes
8485,Property Crimes
16431,Property Crimes
19400,Fraud and White-Collar Crimes
471,Crimes against Public Order
13194,Property Crimes
4900,Fraud and White-Collar Crimes
12980,Property Crimes
12267,Property Crimes
11299,Violent Crimes
17423,Property Crimes
5156,Crimes against Public Order
18115,Violent Crimes
9360,Property Crimes
13030,Fraud and White-Collar Crimes
391,Violent Crimes
17390,Property Crimes
4615,Crimes against Public Order
17327,Violent Crimes
17628,Crimes against Public Order
14641,Property Crimes
16524,Violent Crimes
16410,Property Crimes
1150,Violent Crimes
10853,Property Crimes
5802,Violent Crimes
6929,Property Crimes
10046,Fraud and White-Collar Crimes
19967,Property Crimes
19643,Property Crimes
12244,Property Crimes
10147,Property Crimes
12913,Property Crimes
265,Property Crimes
11909,Property Crimes
3697,Property Crimes
4776,Violent Crimes
5043,Property Crimes
11777,Property Crimes
1506,Property Crimes
3698,Property Crimes
17268,Violent Crimes
11555,Crimes against Public Order
15874,Violent Crimes
14610,Property Crimes
7124,Property Crimes
4841,Violent Crimes
18419,Property Crimes
1419,Property Crimes
4162,Property Crimes
15827,Property Crimes
13668,Crimes against Public Order
12282,Property Crimes
8477,Property Crimes
6024,Property Crimes
14192,Property Crimes
6554,Property Crimes
14345,Property Crimes
18705,Property Crimes
10721,Violent Crimes
3737,Property Crimes
3580,Property Crimes
3197,Property Crimes
16206,Crimes against Public Order
315,Violent Crimes
7979,Property Crimes
17474,Property Crimes
10241,Violent Crimes
14410,Property Crimes
17498,Violent Crimes
2578,Property Crimes
10648,Fraud and White-Collar Crimes
17302,Property Crimes
4620,Property Crimes
13285,Property Crimes
10686,Property Crimes
8289,Property Crimes
7471,Property Crimes
16645,Property Crimes
18524,Property Crimes
10194,Violent Crimes
264,Property Crimes
6042,Property Crimes
18904,Violent Crimes
14283,Property Crimes
19989,Property Crimes
10736,Crimes against Public Order
5683,Violent Crimes
17221,Violent Crimes
3703,Property Crimes
6476,Property Crimes
8140,Violent Crimes
12431,Property Crimes
19512,Property Crimes
549,Property Crimes
17974,Property Crimes
8872,Property Crimes
3801,Property Crimes
4342,Property Crimes
8804,Property Crimes
9410,Violent Crimes
5829,Property Crimes
4423,Property Crimes
13053,Crimes against Public Order
40,Violent Crimes
12962,Violent Crimes
7894,Violent Crimes
15894,Property Crimes
3866,Violent Crimes
15005,Fraud and White-Collar Crimes
15392,Property Crimes
14377,Violent Crimes
15973,Property Crimes
17003,Property Crimes
13008,Violent Crimes
9998,Crimes against Public Order
3691,Property Crimes
1086,Violent Crimes
126,Property Crimes
12745,Property Crimes
17038,Other Crimes
8885,Violent Crimes
9870,Property Crimes
4845,Property Crimes
8785,Fraud and White-Collar Crimes
6562,Violent Crimes
167,Violent Crimes
87,Property Crimes
16493,Property Crimes
16662,Fraud and White-Collar Crimes
11953,Violent Crimes
640,Property Crimes
2554,Violent Crimes
3218,Property Crimes
246,Violent Crimes
19799,Property Crimes
949,Property Crimes
2690,Property Crimes
12966,Violent Crimes
9324,Property Crimes
5605,Other Crimes
637,Property Crimes
17972,Fraud and White-Collar Crimes
6289,Property Crimes
